BA_Low	YA_Low	BA_Ctl	YA_Ctl	BW_Low	YW_Low	BW_Ctl	YW_Ctl	BB_Low	YB_Low	BB_Ctl	YB_Ctl	BX_Low	YX_Low	BX_Ctl	YX_Ctl	BC_Low	YC_Low	BC_Ctl	YC_Ctl	BY_Low	YY_Low	BY_Ctl	YY_Ctl	BD_Low	YD_Low	BD_Ctl	YD_Ctl	BZ_Low	YZ_Low	BZ_Ctl	YZ_Ctl	AA_Low	AD_Low	AC_Ctl	AB_Low	AC_Low	AA_Ctl	AB_Ctl	AD_Ctl	AW_Ctl	AW_Low	AX_Ctl	AX_Low	AY_Ctl	AY_Low	AZ_Ctl	AZ_Low
10650.5800485491	22251.4812902106	15670.7056813558	23602.3599829557	10578.4852593902	19878.2912667106	13622.4509196113	18385.2624978519	18941.0503515012	25849.4142511274	17002.2166367806	23537.4330907396	12344.1939706243	18038.5056573611	12026.9419310543	19783.4467972108	10034.5544937835	21996.5203159115	14997.8936840616	19890.6759176631	18221.5389137104	16897.2820121124	17622.5242009576	16076.2801970169	17652.7105442669	10685.0686470472	16081.9104132675	18109.9831573047	16858.7543787302	20888.8177248743	13850.7203496413	21386.9882826588	9143.69293690893	9128.1737605046	8934.95486991853	10111.1760310167	10184.8279216397	8241.53579319895	8724.35019636092	8842.88407499384	9033.59600760982	8082.34082353439	9371.90517152693	9472.35013739072	7178.92032476358	6954.857576316	8467.58458866674	6838.45197265665
10153.1416205234	21768.4426897416	14749.1178379966	22441.0482180216	8728.85606246834	19640.4102302286	13109.1943244209	17936.2816739089	18255.2313333522	25472.6324956035	16430.4251559584	23131.8807943297	11884.4050881245	17781.471205089	11831.3697258033	19358.8729668682	9863.35215887469	21682.5227197477	14484.6632024627	19218.2851012595	17810.8188785917	16592.6824671255	17392.7450624802	15555.0509080187	17213.2191877567	10522.4699870988	15875.4289738668	17725.3126978933	16479.0207581426	20595.9382431956	12099.3998683799	20970.5176026933	8798.61453184335	8872.84959134383	8667.14389401418	9592.09875573781	10003.0140635298	8079.94167343539	8364.11653257809	8520.7744256223	8869.43045097021	5861.69153791048	9153.3721198647	9219.51197930775	6966.2537084558	6723.14476803759	8154.51973689868	5854.73883951703
9792.0323492242	21198.5008117539	13109.8957348199	21316.4424984371	7293.76074799545	19372.4878423832	12208.4437054868	17517.6118434225	17486.0222043723	25123.9900856131	15986.6633333944	22670.7616085559	11508.2347024345	17450.220594308	11602.3068878185	18955.15075541	9717.39105029615	21387.7641934161	14132.7595195344	18551.2707059406	17465.210080785	16328.0271564102	17175.9487138117	14844.3871473031	16707.219930498	10362.2938095987	15664.615304606	17360.6952883805	15793.735416811	20318.7281037326	10187.8907963501	20621.197358314	8431.12871869551	8622.08534676242	8303.40492870523	8984.50315712258	9795.04094074768	7904.52575517102	8041.36822292563	8127.05690901807	8695.45141628518	4576.21009069163	8922.4080453676	8961.66092839594	6698.15265862176	6519.73655536214	7774.90275058532	5027.56174596809
9438.50362620485	20513.0804684209	12044.8090336358	20435.1469792859	2277.73898640897	18969.8163567615	11363.7481970972	17120.0733480974	16709.8652446182	24724.0771820536	15555.1164824149	22214.892627412	11125.2518890157	17113.6823288629	11346.9448961158	18460.1096254609	9567.3528132986	21066.7519767418	13744.2189402399	17950.082614291	17159.1159507524	16083.7275111226	16973.2220313036	14231.1576314676	16063.6866096812	10193.8620284259	15429.0673109391	16886.3391052132	14846.5111622729	19967.3749815878	8602.06401761664	20251.7539356839	8082.88051150225	8314.82700980181	7925.15228854598	8417.00501053385	9560.86269873667	7709.34369775485	7801.0850991186	7820.19522817917	8509.18546872249	2736.99142519267	8563.42813849523	8686.11717915192	6449.76404991759	6306.13716382629	7261.79464248262	4323.63830776408
8931.33616549933	19768.6190387063	7927.37758885014	19021.4150223899	196.251789629165	18527.7249771019	11055.8637120674	16242.4168797651	15218.5754025798	24269.6741527276	15076.3819238482	21786.7592888847	10723.7469982873	16493.5969505235	11023.2561825013	17532.5283045103	9416.21968459461	20656.5387253076	13317.6449401971	NA	16822.7361652714	15808.7084562682	16716.1169539021	12622.1909788468	15448.9300951084	10030.5669169856	15174.7715989595	16441.4745788794	14271.9832009501	19612.5958166244	7684.00100263101	19830.5045829621	7796.50482358029	7907.64318597539	7545.02696041656	7626.16981778148	9302.68173858451	7497.13317364375	7408.27717115476	7580.89629368341	8255.47383464195	1615.79734242367	8082.75040525285	8281.19816627055	6218.71628296088	6104.43523567608	6596.40043024882	2294.8854939385
8577.42083827436	18287.5368326243	5269.27782349303	16601.0501886071	56.5293927257377	18021.4877179512	10585.8458944247	15222.7912255778	14325.0964120199	23817.5871587908	14631.9807172887	21341.3686890459	10342.4527198842	15976.7104517936	10717.423423601	16105.9284954593	9220.65567840759	20145.885087298	12925.3252846183	8699.9270952296	16339.3364583646	15512.8202320953	16438.8161083821	10654.6661606797	14592.4923289037	9813.29616072536	14921.8859970107	15882.7579294924	13218.9965734787	19225.4544776	4837.71140788529	19370.3835942781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8234.29660503487	16437.9973296363	4151.04106543603	12260.6561047867	19.6391899531115	17492.7039604466	9982.15516950822	12984.1648010812	12572.903647895	23278.9621939414	14203.6617650737	20772.7770807425	9875.78656917024	15226.4971841262	10339.8870929515	13992.1554224199	9044.36155975004	19326.4106645244	12377.9678172384	8434.1722052349	15735.4764508627	14740.5733340555	16088.6116505088	9216.21595584167	13251.4061530299	9629.86410825952	14514.4090918313	14926.1051548665	10974.9947371555	17681.3902701632	2235.03997635836	18913.0418165211	3744.83958982171	3605.78909906207	3590.38366335306	3225.24334197814	4467.47841912698	3655.5112648083	3518.49994105464	3633.91742661172	3970.87695981713	519.734787951815	3791.9679025524	3966.76035315201	2983.30809659124	2912.90780860651	2820.96573785939	573.164910488482
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3497.40852734968	3199.21974308405	3401.65193220514	2494.80326684413	4278.07350926426	3510.13829040174	3302.16927929679	3424.7496924682	3843.5316076013	88.2728428744502	3573.5206063126	3776.81143202757	2829.49407194243	2791.61143524769	2253.31544056072	377.401671449702
3901.21958833145	7118.41364871226	1639.15082628567	96.4355588039309	4.08966683372704	8230.92115609195	4370.3155703223	3651.69381445097	4087.12964790603	10934.6672101161	6884.68494816722	10054.6859001605	4656.35547079294	5716.0765858401	4887.83178166223	4319.53431615932	4320.70553623524	8207.01939344922	5977.57782630087	4025.36296939572	6915.24763807848	5946.48357004245	7846.93454642787	1404.53860205312	5726.23572813991	4682.82644096702	6922.07549115839	6240.04459646091	1989.4162608544	7423.48163251416	829.840342610046	9178.61513378095	3098.77535407307	2400.88951114501	3126.74257254724	2061.22444512164	3953.67455106332	3192.75481762239	2947.77215960633	3147.96772164106	3395.48468634568	23.1836860785552	3114.50616726182	3522.22014340932	2505.02532941348	2248.35269433967	2015.02853135344	282.981824544628
3741.70533530491	6464.92269096091	1214.15052022853	20.513865292817	1.57641134737056	7385.81129308886	2980.92087110928	1736.97311377578	2729.64003311123	9601.72604482946	6600.95027581522	9543.50827651548	4022.58324721427	4130.78935043892	4313.86860665032	3267.43364420503	3783.94916572145	6414.33525242783	5632.90948092656	3776.73523322483	5322.06651802481	4912.32645095319	7391.64281845747	601.01255296507	4676.28589508201	4471.18702097578	6540.33503588731	4067.90279226686	1138.53021298792	5510.38489846766	578.405200890247	8844.34677051594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
