receptor activity	receptor binding	binding	protein binding	nucleic acid binding	catalytic activity	ubiquitin-protein ligase activity	ligase activity	DNA binding	transcription factor activity	transcription cofactor activity	transcription regulator activity	growth factor activity	enzyme inhibitor activity	serine-type endopeptidase inhibitor activity	enzyme regulator activity	protease inhibitor activity	protein kinase activity	non-membrane spanning protein tyrosine kinase activity	kinase activity	transferase activity	single-stranded DNA binding	enzyme activator activity	kinase regulator activity	kinase activator activity	DNA replication origin binding	RNA binding	mRNA binding	DNA helicase activity	helicase activity	hydrolase activity	DNA primase activity	DNA-directed RNA polymerase activity	nucleotidyltransferase activity	nuclease activity	hydrolase activity, acting on ester bonds	chromatin binding	phosphoprotein phosphatase activity	phosphoric monoester hydrolase activity	endoribonuclease activity	transporter activity	transmembrane transporter activity	cation transmembrane transporter activity	transferase activity, transferring glycosyl groups	isomerase activity	intramolecular transferase activity	phosphorylase activity	peptidase activity	metallopeptidase activity	amino acid transmembrane transporter activity	acyltransferase activity	oxidoreductase activity	lyase activity	carboxy-lyase activity	deaminase activity	hydro-lyase activity	racemase and epimerase activity	carbohydrate transmembrane transporter activity	ATPase activity, coupled to transmembrane movement of substances	pyrophosphatase activity	ion channel activity	anion channel activity	hydrogen ion transmembrane transporter activity	voltage-gated ion channel activity	voltage-gated potassium channel activity	cation channel activity	adenylate cyclase activity	guanylate cyclase activity	phosphoric diester hydrolase activity	nucleotide phosphatase activity	deacetylase activity	carbohydrate kinase activity	nucleotide kinase activity	transaminase activity	ligand-gated ion channel activity	cyclic nucleotide-gated ion channel activity	peroxidase activity	antioxidant activity	hydrogen ion transporting ATP synthase activity, rotational mechanism	calcium ion binding	calmodulin binding	acetyltransferase activity	G-protein coupled receptor activity	structural molecule activity	structural constituent of cytoskeleton	methyltransferase activity	DNA-methyltransferase activity	carbohydrate phosphatase activity	amino acid kinase activity	translation elongation factor activity	translation factor activity, nucleic acid binding	translation regulator activity	translation initiation factor activity	small GTPase regulator activity	guanyl-nucleotide exchange factor activity	serine-type peptidase activity	protein disulfide isomerase activity	lipid binding	hydrolase activity, hydrolyzing N-glycosyl compounds	phospholipase activity	lipase activity	hydrolase activity, hydrolyzing O-glycosyl compounds	galactosidase activity	glucosidase activity	transketolase activity	lipid transporter activity	cysteine-type peptidase activity	amylase activity	glutamate receptor activity	double-stranded DNA binding	voltage-gated calcium channel activity	voltage-gated sodium channel activity	calcium-dependent phospholipid binding	GTPase activity	hormone activity	transaldolase activity	endodeoxyribonuclease activity	extracellular matrix structural constituent	RNA-directed DNA polymerase activity	RNA helicase activity	actin binding	cytoskeletal protein binding	motor activity	transmembrane receptor protein tyrosine kinase activity	transmembrane receptor protein kinase activity	phosphatase regulator activity	phosphatase inhibitor activity	transmembrane receptor protein serine/threonine kinase activity	kinase inhibitor activity	structural constituent of ribosome	microtubule binding	RNA splicing factor activity, transesterification mechanism	aspartic-type endopeptidase activity	translation release factor activity	poly(A) binding	cytokine activity	neuropeptide hormone activity	damaged DNA binding	microtubule motor activity	exoribonuclease activity	aminoacyl-tRNA ligase activity	DNA-directed DNA polymerase activity	SNAP receptor activity	hematopoietin/interferon-class (D200-domain) cytokine receptor activity	tumor necrosis factor receptor activity	tumor necrosis factor receptor binding	hematopoietin/interferon-class (D200-domain) cytokine receptor binding	centromeric DNA binding	DNA topoisomerase activity	ligand-dependent nuclear receptor activity	DNA ligase activity	RNA methyltransferase activity	transforming growth factor beta receptor activity	DNA strand annealing activity	DNA polymerase processivity factor activity	exodeoxyribonuclease activity	DNA photolyase activity	acetylcholine receptor activity	GABA receptor activity	cysteine protease inhibitor activity	structural constituent of myelin sheath	phosphatase activator activity	intermediate filament binding
DNA primase activity	0	0	0	0	0	0.0664316579905132	0.0511538711551628	0.0533804410212366	0	0	0	0	0	0	0	0	0	0.252936468667596	0.226134281531222	0.258285266075899	0.294330570023944	0	0	0	0	0	0	0	0.046166833851514	0.0478026525732037	0.0607268152950879	0.999687753700119	0.803710623543313	0.244047212353881	0.0483315982704527	0.0531147724662251	0	0.0478026525732037	0.048627873248935	0.0441902294074608	0	0	0	0.24802556095574	0.0474779638552406	0.0383918836055839	0.190328061976838	0.0559539429717917	0.0500507547944697	0	0.234732962755417	0.0551337921543295	0.0480550395180029	0.0427257235162716	0.0416706503824099	0.0434333167013306	0.0441902294074608	0	0.0455150846244239	0.0393947455940223	0	0	0	0	0	0	0.0430333086800874	0.0416706503824099	0.0414162027034391	0.0418500648755741	0.0406830827898947	0.205538209410541	0.217178052299914	0.205168867271642	0	0	0	0	0	0	0	0.223796511296647	0	0	0	0.232922040703174	0.200454511515416	0.0373843575394463	0.185828838517577	0	0	0	0	0	0	0.0530591827511362	0.0405151709399913	0	0.0428162202104565	0.0422365563092764	0.0459053582581408	0.0432385650820753	0.0373843575394463	0.0417912670111872	0.173570484238699	0	0.0450853704255522	0.0391403114870623	0	0	0	0	0	0.0462057096751114	0	0.162829312847873	0.0423397681208407	0	0.254887049594536	0.0460880337679179	0	0	0	0	0.226858742303218	0	0	0	0	0	0	0.0475360676521912	0.0475504815782833	0	0	0	0	0	0	0.0418500648755741	0.0423902950412834	0.207922401137872	0	0	0	0	0	0	0.0373843575394463	0	0.0357791936081496	0.201418157248607	0	0	0	0.0407639670700983	0.0368521143248116	0	0	0	0	0	0
DNA-directed RNA polymerase activity	0	0	0	0	0	0.0949285522736097	0.0665334356360396	0.0703500662086456	0	0	0	0	0	0	0	0	0	0.327800210042923	0.284153229717048	0.336840419489188	0.400863120164896	0	0	0	0	0	0	0	0.0583371153565574	0.0609736928195675	0.0836934642715855	0.803710623543313	0.995753450321614	0.313023872150359	0.0618369062468712	0.0698893661337954	0	0.0609736928195675	0.0623227232578153	0.0552162483248178	0	0	0	0.319599173329816	0.0604464190190121	0.0464503857817379	0.229823628925084	0.0748894488573421	0.0646793168116206	0	0.297864004047913	0.0734275252233702	0.0613849184099857	0.0529484942781491	0.0513376539552943	0.0540395234065397	0.0552162483248178	0	0.0573003105427377	0.0479265299004933	0	0	0	0	0	0	0.0534216918104232	0.0513376539552943	0.0509520022900976	0.0516102396132807	0.0498469303322145	0.252375347164535	0.270153916642403	0.251818725914832	0	0	0	0	0	0	0	0.280471738153407	0	0	0	0.29495404106536	0.244753722367213	0.0449835875990882	0.223295389709728	0	0	0	0	0	0	0.0697931512022044	0.0495950890571538	0	0.0530875475593086	0.0521992944740103	0.0579202335525406	0.0537383734279072	0.0449835875990882	0.0515208475928789	0.205828022911737	0	0.0566209151962162	0.0475504815782833	0	0	0	0	0	0.0583992030802306	0	0.19089517521696	0.052357030925953	0	0.331083822849401	0.0582113499995221	0	0	0	0	0.285298068615147	0	0	0	0	0	0	0.0605406311217261	0.0605640122627517	0	0	0	0	0	0	0.0516102396132807	0.0524343165177189	0.255979468374209	0	0	0	0	0	0	0.0449835875990882	0	0.0426796341520794	0.246191878298113	0	0	0	0.0499684111726505	0.0442151945433253	0	0	0	0	0	0
nucleotidyltransferase activity	0	0	0	0	0	0.131392223994418	0.0825995800267735	0.0885646260193802	0	0	0	0	0	0	0	0	0	0.40543350233676	0.34070563121914	0.419353692556022	0.523430267539684	0	0	0	0	0	0	0	0.0703318574435877	0.0742000620917013	0.110804228117535	0.244047212353881	0.313023872150359	0.977018672328733	0.0754823261808343	0.0878357156843205	0	0.0742000620917013	0.0762074653002468	0.0658450383240897	0	0	0	0.392961852555136	0.0734206882301735	0.0537492563393199	0.265461842478589	0.0958811568461498	0.0797610033063349	0	0.360608061237462	0.0934978495148743	0.0748099352207006	0.0626454925755927	0.0604030986590939	0.0641785229767286	0.0658450383240897	0	0.0688303511692047	0.055735667357435	0	0	0	0	0	0	0.063308970224421	0.0604030986590939	0.0598699284262002	0.0607808071864977	0.0583499408324192	0.296014823763548	0.320774929438074	0.295249355395758	0	0	0	0	0	0	0	0.335426543892979	0	0	0	0.356351788355022	0.285583998728693	0.0517949752105794	0.256790184328301	0	0	0	0	0	0	0.0876837977444936	0.0580051491472309	0	0.0628402359086902	0.0615994577937779	0.069726809809043	0.0637542108908138	0.0517949752105794	0.0606568629639357	0.233957423368795	0	0.0678523628481909	0.055227738119529	0	0	0	0	0	0.0704221215439707	0	0.214853504994059	0.0618192402268033	0	0.410468558055985	0.0701491388106372	0	0	0	0	0.342352830649718	0	0	0	0	0	0	0.0735597307909873	0.0735942521708237	0	0	0	0	0	0	0.0607808071864977	0.0619270136593556	0.300985393909628	0	0	0	0	0	0	0.0517949752105794	0	0.0487639770660779	0.287543930824632	0	0	0	0.0585164707909124	0.050778893429703	0	0	0	0	0	0
nuclease activity	0	0	0	0	0	0.128299586390959	0.0813665941864792	0.0871486526601437	0	0	0	0	0	0	0	0	0	0.0798248080947585	0.0672378981810127	0.0825240269157944	0.102619528338736	0	0	0	0	0	0	0	0.0694359348552527	0.0732035772761376	0.413070768351274	0.0483315982704527	0.0618369062468712	0.0754823261808343	0.979329294947855	0.788064434747812	0	0.667367961712643	0.685173945466115	0.855784749662138	0	0	0	0.0774041646401895	0.0724448893469759	0.0532244276445378	0.0525317226826643	0.358400212957217	0.299012676605062	0	0.0711143790708469	0.0919211419718233	0.0737971140534001	0.0619337040299432	0.0597410857746413	0.0634316787376855	0.0650591415691054	0	0.258546200291961	0.209856731286579	0	0	0	0	0	0	0.0625821122181121	0.0597410857746413	0.539880570005783	0.548003891929877	0.219595777560559	0.058512890041213	0.0633503081907853	0.058363200928129	0	0	0	0	0	0	0	0.0662087302894543	0	0	0	0.0702858360547111	0.0564724028210516	0.467749607616422	0.0508317078792976	0	0	0	0	0	0	0.32824388891603	0.0573943898269166	0	0.236302079752962	0.555302421918127	0.62764292819067	0.239699223682715	0.195158842396247	0.228182163344414	0.0463503875806003	0	0.254917767175695	0.207963451404276	0	0	0	0	0	0.264449076719135	0	0.0425951975366015	0.804048398897018	0	0.0808014526581363	0.069257835802406	0	0	0	0	0.0675589422507741	0	0	0	0	0	0	0.0725802571658994	0.27620237265209	0	0	0	0	0	0	0.790691022736558	0.061231367790672	0.0594846944005529	0	0	0	0	0	0	0.0513074443357462	0	0.0483315982704527	0.0568559242837827	0	0	0	0.761547377018603	0.0503102165484439	0	0	0	0	0	0
hydrolase activity, acting on ester bonds	0	0	0	0	0	0.168605248652819	0.0959065908369566	0.104043085440812	0	0	0	0	0	0	0	0	0	0.0937717736682626	0.0768679631619321	0.0975187419694962	0.12687956206596	0	0	0	0	0	0	0	0.0797542240586518	0.0847652251898491	0.517854566690959	0.0531147724662251	0.0698893661337954	0.0878357156843205	0.788064434747812	0.939361768563043	0	0.772770917269133	0.796746587720382	0.674934662556256	0	0	0	0.0904489722934858	0.0837496228411194	0.0590837705950556	0.0582313755662415	0.434720553055108	0.350325126784575	0	0.0819765540894767	0.11091828392811	0.0855620722335297	0.0700130407709785	0.0672239303985768	0.0719333921511411	0.0740335685279043	0	0.296039106823305	0.233901325450569	0	0	0	0	0	0	0.0708427879863876	0.0672239303985768	0.606839448094812	0.617121909640571	0.246064625097411	0.0656727858734273	0.0718287657607616	0.0654842812233657	0	0	0	0	0	0	0	0.07552582358475	0	0	0	0.0808775296262919	0.0631133019557509	0.517192304548252	0.0561497563706352	0	0	0	0	0	0	0.391134297016675	0.0642670970167669	0	0.267235146918415	0.626393200078213	0.720002841393075	0.271588101047595	0.215787784336648	0.256896720124416	0.0507316809873156	0	0.291291682765374	0.23155177006102	0	0	0	0	0	0.303803826875743	0	0.0462672055610855	0.62888710042795	0	0.095122397484292	0.0795193500704286	0	0	0	0	0.0772878422425775	0	0	0	0	0	0	0.0839305868861327	0.319418901466292	0	0	0	0	0	0	0.617121909640571	0.0691168368146026	0.0668994626063981	0	0	0	0	0	0	0.0567308126920898	0	0.0531147724662251	0.0635927106675638	0	0	0	0.59162538005763	0.0555141217339572	0	0	0	0	0	0
chromatin binding	0	0.137625570418164	0.184867031457453	0.15784242926139	0.17029114768643	0	0	0	0.147342323090237	0.141974282151381	0	0	0.096962893558003	0	0	0	0	0	0	0	0	0.104725015959524	0	0	0	0.0926994645497737	0.123588668198867	0.116537315675662	0	0	0	0	0	0	0	0	0.98694810466496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122315270832353	0.115434178819854	0	0	0	0	0	0	0	0	0	0.108899489496364	0	0	0	0	0	0	0.085147520055437	0	0	0	0	0	0	0	0	0	0	0	0.093352962132104	0	0	0.108899489496364	0	0.090739561853177	0	0	0	0	0	0.109993382110052	0.113364968918442	0	0	0	0	0	0	0	0	0.0963231610672258	0	0	0	0.0999952626031059	0.0945569106874686	0.0793177010805943	0.0974217508269188	0	0	0	0	0.090739561853177	0	0	0	0.0824023823291884	0.0879864698079213	0.0817321149857912	0	0	0	0	0.0817321149857912	0	0	0	0	0	0	0	0	0.0683087595163371
phosphoprotein phosphatase activity	0	0	0	0	0	0.124638537439348	0.0798785889562829	0.0854438680612348	0	0	0	0	0	0	0	0	0	0.0783921634890367	0.0662185518978734	0.0809937851782112	0.100263922402321	0	0	0	0	0	0	0	0.0683493919564281	0.0719969467202675	0.403049944843638	0.0478026525732037	0.0609736928195675	0.0742000620917013	0.667367961712643	0.772770917269133	0	0.981889714606882	0.952121611783925	0.584413617872614	0	0	0	0.0760563573996845	0.0712629385028596	0.0525836757826956	0.0519074429814053	0.350832098955255	0.293726366714628	0	0.0699751031845113	0.0900265574290088	0.0725710012463341	0.0610678049080644	0.0589350126748865	0.0625236935444947	0.0641043170957402	0	0.2545844228814	0.207239063016713	0	0	0	0	0	0	0.0616981167062778	0.0589350126748865	0.532658832204481	0.764096903206833	0.216731167972612	0.0577394052292127	0.0624446344108789	0.0575936425253656	0	0	0	0	0	0	0	0.0652201207580413	0	0	0	0.0691727448280138	0.055751591708997	0.653495327546697	0.0502469549780995	0	0	0	0	0	0	0.321884479716117	0.0566500053063846	0	0.232988314286152	0.54766512734481	0.617903616540049	0.236290181400437	0.192893025335072	0.225090733506794	0.0458636998564479	0	0.251065580119959	0.205392512778289	0	0	0	0	0	0.260305780796395	0	0.0421838257185562	0.549570579015411	0	0.0793338594724465	0.0681768162030458	0	0	0	0	0.0665299129715058	0	0	0	0	0	0	0.0713939212629645	0.271685744461362	0	0	0	0	0	0	0.540564692440461	0.0603848619211639	0.0586854790365572	0	0	0	0	0	0	0.0507117588863253	0	0.0478026525732037	0.0561253527553174	0	0	0	0.520900951851086	0.0497373326541337	0	0	0	0	0	0
phosphoric monoester hydrolase activity	0	0	0	0	0	0.130408751289091	0.0822098287970581	0.0881167019109058	0	0	0	0	0	0	0	0	0	0.0806362298348802	0.0678126807438626	0.0833915499203252	0.103964438794742	0	0	0	0	0	0	0	0.0700490828079185	0.0738853968375094	0.418804086803693	0.048627873248935	0.0623227232578153	0.0762074653002468	0.685173945466115	0.796746587720382	0	0.952121611783925	0.977768063448448	0.598022986695439	0	0	0	0.0781668855962428	0.0731125848233174	0.0535839486387399	0.0528819156045903	0.362708420217912	0.30200545861634	0	0.0717576653152264	0.0929987757225105	0.0744900871963565	0.0624210491938413	0.0601944088301337	0.0639429808958846	0.0655971284673626	0	0.260780720735459	0.211326495083661	0	0	0	0	0	0	0.0630797562103335	0.0601944088301337	0.543941216274082	0.78052681696776	0.22120564785908	0.0589476974516711	0.0638602941138849	0.0587957782908544	0	0	0	0	0	0	0	0.0667659789364309	0	0	0	0.0709141537370504	0.0568773084792776	0.665475795061968	0.0511595311657418	0	0	0	0	0	0	0.33185394816588	0.0578126736220376	0	0.238167257785291	0.559599291942691	0.633137784819265	0.241618633638102	0.196429314772097	0.229920888001239	0.0466228021206484	0	0.257089745827229	0.2094067238833	0	0	0	0	0	0.266787256102996	0	0.0428251500028273	0.561588842602678	0	0.0816329545199291	0.0698678285966677	0	0	0	0	0.0681392504886656	0	0	0	0	0	0	0.0732504617773827	0.278754011600156	0	0	0	0	0	0	0.552188128213758	0.0617076800086926	0.0599341201081244	0	0	0	0	0	0	0.0516414527255463	0	0.048627873248935	0.0572663682807744	0	0	0	0.531685697522561	0.050631326700569	0	0	0	0	0	0
endoribonuclease activity	0	0	0	0	0	0.102740117974388	0.0702785393462043	0.0745507265125043	0	0	0	0	0	0	0	0	0	0.0691253511724628	0.0594827252292103	0.0711403421151217	0.0855887924478114	0	0	0	0	0	0	0	0.0611965008731893	0.0641043170957402	0.341219156167188	0.0441902294074608	0.0552162483248178	0.0658450383240897	0.855784749662138	0.674934662556256	0	0.584413617872614	0.598022986695439	0.993255479922563	0	0	0	0.0673027208686752	0.0635217674159783	0.0482453077734709	0.0476754512175288	0.303034706166887	0.259462940797528	0	0.0624965135374384	0.0780157237942718	0.0645590120186287	0.0552934151998504	0.0535391011151838	0.0564843073805983	0.0577711800919051	0	0.228437977805272	0.189575945210329	0	0	0	0	0	0	0.0558096579850924	0.0535391011151838	0.484272139946542	0.490798104120071	0.19748807963072	0.0525505675727655	0.0564197759248451	0.0524297986578575	0	0	0	0	0	0	0	0.058675848709178	0	0	0	0.0618557092561328	0.0508988660056213	0.425425270307523	0.0462710207236219	0	0	0	0	0	0	0.281191888899198	0.0516466380996089	0	0.210897207090104	0.496644261255141	0.553723432715754	0.213598985897724	0.177499888674224	0.204405401325767	0.0425281606296037	0	0.225600779062694	0.188029572106304	0	0	0	0	0	0.233033880780564	0	0.0393455050809786	0.718846611123923	0	0.0698565304041216	0.0610581192502546	0	0	0	0	0.0597338438989183	0	0	0	0	0	0	0.0636258181452859	0.242112645298932	0	0	0	0	0	0	0.708151275234958	0.0547329274116058	0.0533330889450934	0	0	0	0	0	0	0.0466648886923763	0	0.0441902294074608	0.0512102113363726	0	0	0	0.684684329244707	0.0458385110878334	0	0	0	0	0	0
transporter activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.905701617435833	0.883768497652853	0.712614673674346	0	0	0	0	0	0	0.621904790071789	0	0	0	0	0	0	0	0.598668369923887	0	0	0	0	0.512026790766187	0	0.526079621311599	0.551761768590638	0	0	0	0	0	0	0	0	0	0	0	0	0.454862613961316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.640645385637699	0	0	0	0	0.480214782630393	0.467353063350505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transmembrane transporter activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.883768497652853	0.91613064385187	0.742107566072151	0	0	0	0	0	0	0.611484351457132	0	0	0	0	0	0	0	0.589006019222342	0	0	0	0	0.536108227114373	0	0.550612893382826	0.577092357684314	0	0	0	0	0	0	0	0	0	0	0	0	0.476992347496167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.629593042177045	0	0	0	0	0.5032326486809	0.489924858653144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cation transmembrane transporter activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.712614673674346	0.742107566072151	0.973771310809967	0	0	0	0	0	0	0.524348185639795	0	0	0	0	0	0	0	0.507732667761801	0	0	0	0	0.471417668243276	0	0.753537160746435	0.785111408325834	0	0	0	0	0	0	0	0	0	0	0	0	0.425091291380758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.537607681721632	0	0	0	0	0.696094500703685	0.679737758648246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transferase activity, transferring glycosyl groups	0	0	0	0	0	0.137327407650497	0.084906464647334	0.0912220912668345	0	0	0	0	0	0	0	0	0	0.416532954491714	0.348509803617918	0.431239580455499	0.542079206365886	0	0	0	0	0	0	0	0.0719974802589805	0.0760563573996845	0.114995486190655	0.24802556095574	0.319599173329816	0.392961852555136	0.0774041646401895	0.0904489722934858	0	0.0760563573996845	0.0781668855962428	0.0673027208686752	0	0	0	0.97221007931056	0.0752377149972395	0.054716640928037	0.65116633905775	0.099003577640947	0.0819099952407616	0	0.369362344454264	0.0964645707110768	0.076697258941286	0.0639635355361139	0.0616275496158067	0.0655625768954928	0.0673027208686752	0	0.0704248086312856	0.0567765688360632	0	0	0	0	0	0	0.0646553798046204	0.0616275496158067	0.0610726434435611	0.0620207765049212	0.0594917792590642	0.301888259581667	0.327683489237885	0.301092154322107	0	0	0	0	0	0	0	0.342988061623458	0	0	0	0.364898187912746	0.291046977429659	0.0526927045021155	0.261198592461187	0	0	0	0	0	0	0.0902878885551611	0.0591334026597906	0	0.0641665730421176	0.062873404149952	0.0713635645462335	0.0651198294349828	0.0526927045021155	0.0618917289759548	0.237611151186642	0	0.0694013221118445	0.0562495802851751	0	0	0	0	0	0.072092073189179	0	0.217930975858969	0.0631023881802436	0	0.421849278352192	0.0718060165187957	0	0	0	0	0.350233519393469	0	0	0	0	0	0	0.0753837316555041	0.0754199866799366	0	0	0	0	0	0	0.0620207765049212	0.0632146860961382	0.307059758688988	0	0	0	0	0	0	0.0526927045021155	0	0.0495589056297387	0.29308287765195	0	0	0	0.0596649002403583	0.0516414527255463	0	0	0	0	0	0
isomerase activity	0	0	0	0	0	0.122455042774709	0.0789760850251026	0.0844120374680341	0	0	0	0	0	0	0	0	0	0.0775227528445057	0.0655971284673626	0.0800660517080175	0.0988460822604324	0	0	0	0	0	0	0	0.067687531479547	0.0712629385028596	0.104379903884574	0.0474779638552406	0.0604464190190121	0.0734206882301735	0.0724448893469759	0.0837496228411194	0	0.0712629385028596	0.0731125848233174	0.0635217674159783	0	0	0	0.0752377149972395	0.983326047586336	0.727503567244726	0.0515248215881625	0.0910328973480026	0.0763771742071341	0	0.0692815429017921	0.088881817877224	0.0718253020202127	0.0605389092304626	0.0584422661775954	0.0619693934057027	0.885445022900928	0	0.0662956922765715	0.0540619611462984	0	0	0	0	0	0	0.0611582949382857	0.0584422661775954	0.0579430070481692	0.0587957782908544	0.0565181226162811	0.0572663682807744	0.0618917289759548	0.0571229811845126	0	0	0	0	0	0	0	0.0646172101591803	0	0	0	0.0684949215208303	0.0553104404687018	0.0503464997625627	0.0498883371358783	0	0	0	0	0	0	0.0836114993846332	0.783309609983959	0	0.0607207564767322	0.0595614929370087	0.0671269442009978	0.0615736995534283	0.0503464997625627	0.058679789886946	0.045564734376054	0	0.0653879310815832	0.0535839486387399	0	0	0	0	0	0.0677711316725595	0	0.0419307782461317	0.0597669490587614	0	0.0784435541661233	0.067518277675784	0	0	0	0	0.065902659586979	0	0	0	0	0	0	0.0706720955942673	0.0707039592662038	0	0	0	0	0	0	0.0587957782908544	0.0598676796603728	0.0581968790332481	0	0	0	0	0	0	0.701791833708181	0	0.0474779638552406	0.0556782904100678	0	0	0	0.0566743467332649	0.0493859269416974	0	0	0	0	0	0
intramolecular transferase activity	0	0	0	0	0	0.0760396621992855	0.0566674007777509	0.0594126904525229	0	0	0	0	0	0	0	0	0	0.0559152521231371	0.0494331524304218	0.057226384044009	0.0662185518978734	0	0	0	0	0	0	0	0.0506110295819079	0.0525836757826956	0.0686569987641659	0.0383918836055839	0.0464503857817379	0.0537492563393199	0.0532244276445378	0.0590837705950556	0	0.0525836757826956	0.0535839486387399	0.0482453077734709	0	0	0	0.054716640928037	0.727503567244726	0.999063261100356	0.0409955509911744	0.0626181562225309	0.0553168135530784	0	0.0514969441288528	0.0615927985753622	0.0528892341432769	0.0465049841205096	0.0452577294969344	0.0473445223179927	0.672502818862024	0	0.0498288240391303	0.0425856952810092	0	0	0	0	0	0	0.0468696223285914	0.0452577294969344	0.0449577474645797	0.0454694405249676	0.0440951927114294	0.0445493322175863	0.0472991766694282	0.0444625092291484	0	0	0	0	0	0	0	0.0488746070990856	0	0	0	0.0510610698997267	0.0433566012588339	0.0402461077347624	0.0399528007107387	0	0	0	0	0	0	0.0590149926608965	0.611904693823904	0	0.046612218548157	0.045926038341201	0.050296960921891	0.0471132097438182	0.0402461077347624	0.0454000411218441	0.0371311482408862	0	0.0493142571457962	0.0422885293112047	0	0	0	0	0	0.0506577541150102	0	0.034681761086829	0.0460480954506129	0	0.0563927074226927	0.0505163436435267	0	0	0	0	0.0496064626802325	0	0	0	0	0	0	0.0522612785513313	0.0522787009896949	0	0	0	0	0	0	0.0454694405249676	0.0461078670145129	0.0451104321875236	0	0	0	0	0	0	0.56100006713472	0	0.0383918836055839	0.0435823072727226	0	0	0	0.0441902294074608	0.0396299314089561	0	0	0	0	0	0
phosphorylase activity	0	0	0	0	0	0.074633645464767	0.0558828385305333	0.0585508476443445	0	0	0	0	0	0	0	0	0	0.276013294585977	0.244402976219444	0.282394929588139	0.326052332176557	0	0	0	0	0	0	0	0.0499842796925537	0.0519074429814053	0.067508686173481	0.190328061976838	0.229823628925084	0.265461842478589	0.0525317226826643	0.0582313755662415	0	0.0519074429814053	0.0528819156045903	0.0476754512175288	0	0	0	0.65116633905775	0.0515248215881625	0.0409955509911744	0.999188159620308	0.0616615561439604	0.0545689567274896	0	0.254478048698357	0.0606670386240407	0.0522051705880017	0.0459752725388488	0.0447558971114772	0.0467956255770167	0.0476754512175288	0	0.0492211812815833	0.0421410793166016	0	0	0	0	0	0	0.0463316194611455	0.0447558971114772	0.0444625092291484	0.0449629283897495	0.0436186746502533	0.220520423868585	0.233974568409585	0.220095330355748	0	0	0	0	0	0	0	0.241674504640437	0	0	0	0.252351033931766	0.214679117955501	0.0398487748461224	0.197990475418516	0	0	0	0	0	0	0.058164566698301	0.0434257137808206	0	0.0460800752350268	0.0454093602774671	0.0496779179657731	0.0465696326333835	0.0398487748461224	0.0448950653864454	0.184134928977976	0	0.048719024509886	0.0418500648755741	0	0	0	0	0	0.0500298536284073	0	0.172091794830868	0.0455286829288211	0	0.278337672523066	0.0498919222111947	0	0	0	0	0.245249438207661	0	0	0	0	0	0	0.0515932597979502	0.0516102396132807	0	0	0	0	0	0	0.0449629283897495	0.0455871128216346	0.223267185949162	0	0	0	0	0	0	0.0398487748461224	0	0.0380301547383029	0.215784757377586	0	0	0	0.0437116662364017	0.0392446136424622	0	0	0	0	0	0
