immune system process	immune response	B cell mediated immunity	natural killer cell activation	response to stimulus	proteolysis	cellular defense response	mesoderm development	metabolic process	cellular process	protein metabolic process	mammary gland development	developmental process	primary metabolic process	system development	transport	intracellular protein transport	endocytosis	receptor-mediated endocytosis	cell communication	cell adhesion	signal transduction	cell surface receptor linked signal transduction	blood coagulation	response to external stimulus	protein transport	vesicle-mediated transport	cell-cell adhesion	macrophage activation	phagocytosis	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	transcription	regulation of transcription from RNA polymerase II promoter	transcription from RNA polymerase II promoter	ectoderm development	nervous system development	carbohydrate metabolic process	polysaccharide metabolic process	glycogen metabolic process	protein modification process	protein amino acid phosphorylation	cell cycle	mitosis	intracellular signaling cascade	segment specification	pattern specification process	embryonic development	skeletal development	DNA metabolic process	DNA replication	DNA repair	DNA recombination	cytokinesis	chromosome segregation	meiosis	anatomical structure morphogenesis	cellular component organization and biogenesis	cellular structure morphogenesis	protein complex assembly	nuclear mRNA splicing, via spliceosome	transcription initiation from RNA polymerase II promoter	RNA elongation from RNA polymerase II promoter	mRNA processing	RNA metabolic process	reproduction	gamete generation	spermatogenesis	MAPKKK cascade	phosphate metabolic process	apoptosis	induction of apoptosis	response to stress	transmembrane receptor protein serine/threonine kinase signaling pathway	I-kappaB kinase/NF-kappaB cascade	JNK cascade	female gamete generation	establishment and/or maintenance of chromatin architecture	organelle organization and biogenesis	general transcription from RNA polymerase II promoter	tRNA metabolic process	rRNA metabolic process	RNA catabolic process	ion transport	cation transport	protein amino acid glycosylation	carbohydrate transport	lipid metabolic process	steroid metabolic process	monosaccharide metabolic process	purine base metabolic process	amino acid and derivative metabolic process	amino acid metabolic process	nitrogen compound metabolic process	amino acid biosynthetic process	pyrimidine base metabolic process	amino acid transport	generation of precursor metabolites and energy	tricarboxylic acid cycle	amino acid catabolic process	vitamin metabolic process	vitamin catabolic process	system process	gluconeogenesis	cell-cell signaling	synaptic transmission	neurological system process	oxidative phosphorylation	respiratory electron transport chain	sulfur metabolic process	phosphate transport	anion transport	extracellular transport	neurotransmitter secretion	phospholipid metabolic process	G-protein coupled receptor protein signaling pathway	sensory perception	visual perception	calcium-mediated signaling	cyclic nucleotide metabolic process	fatty acid metabolic process	fatty acid beta-oxidation	acyl-CoA metabolic process	coenzyme metabolic process	cellular calcium ion homeostasis	homeostatic process	vitamin transport	oxygen and reactive oxygen species metabolic process	lipid transport	nucleobase, nucleoside, nucleotide and nucleic acid transport	vitamin biosynthetic process	translation	transmembrane receptor protein tyrosine kinase signaling pathway	dorsal/ventral axis specification	nerve-nerve synaptic transmission	pentose-phosphate shunt	porphyrin metabolic process	tRNA aminoacylation for protein translation	regulation of carbohydrate metabolic process	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	glycolysis	response to toxin	protein amino acid acetylation	cholesterol metabolic process	nuclear transport	protein amino acid lipidation	disaccharide metabolic process	fatty acid biosynthetic process	ferredoxin metabolic process	lysosomal transport	endoderm development	negative regulation of apoptosis	nitric oxide biosynthetic process	nitric oxide mediated signal transduction	peroxisomal transport	polyphosphate catabolic process	muscle contraction	action potential propagation	cytokine and chemokine mediated signaling pathway	nitrogen utilization	sensory perception of chemical stimulus	blood circulation	regulation of vasoconstriction	sensory perception of pain	regulation of biological process	sensory perception of taste	fertilization	cell-matrix adhesion	protein folding	protein localization	asymmetric protein localization	localization	response to pheromone	angiogenesis	cell motility	unsaturated fatty acid biosynthetic process	bile acid metabolic process	heart development	exocytosis	synaptic vesicle exocytosis	defense response to bacterium	complement activation	transcription, RNA-dependent	regulation of liquid surface tension	muscle development	neuromuscular synaptic transmission	JAK-STAT cascade	protein targeting	cell proliferation	mRNA capping	anterior/posterior axis specification	cell differentiation	sensory perception of sound	RNA localization	hemopoiesis	sex determination	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	antigen processing and presentation	mRNA polyadenylation	mRNA 3'-end processing	response to interferon-gamma	mitochondrial transport	mitochondrion organization and biogenesis	gut mesoderm development	protein amino acid methylation	mRNA transcription	termination of RNA polymerase II transcription	DNA catabolic process	pinocytosis	protein amino acid ADP-ribosylation	catabolic process	cellular glucose homeostasis	regulation of amino acid metabolic process	chromatin remodeling	regulation of phosphate metabolic process
pyrimidine base metabolic process	0	0	0	0	0	0.0473956148831897	0	0	0.0493876952150583	0	0.0527258619808663	0	0	0.059615857664076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307772154986188	0.28271809314668	0	0.271576238430634	0	0	0.0435062592713287	0.0384195706762455	0.0330304492803731	0.0452287019458345	0.0400524653188926	0	0	0	0	0	0	0	0.239376283897338	0.21848446570916	0.222737748849238	0.203349592150412	0	0	0	0	0	0	0.0329130347608477	0.228764477943403	0.194115921663311	0.17553765328002	0.233670288738623	0.244133543613426	0	0	0	0	0.0303709181081645	0	0	0	0	0	0	0	0	0	0.192011642367159	0.201640947984125	0.200588187138021	0.19816955226297	0	0	0.0374500778992569	0	0.0434976329176655	0.0366561909745194	0.0355715074888524	0.202509595077741	0.0399519625952844	0.0401723719953263	0.0280814821420212	0.0360048991449044	0.994428802492063	0	0	0	0.0332280518690836	0.0277008768884633	0.0185484424717235	0	0.0305528708410708	0	0	0	0	0	0.0297204543646275	0	0	0	0	0.0366821212307409	0	0	0	0	0.194711457531674	0.035423448393314	0.030927589833968	0.0294949228400533	0.0278194456850658	0	0	0	0.0266751861000469	0	0	0.0260402626955748	0.0400095909688147	0	0	0	0.0269057499814208	0.0255682137502732	0.0320872626514835	0	0	0.0303787231031972	0	0.0300004457193068	0.0332280518690836	0	0.0292507218792312	0.025311123529424	0.0295722520074873	0.02348659137394	0	0	0	0.0241641616665404	0	0	0.0194525938872721	0	0	0	0.0194525938872721	0	0	0	0	0	0	0	0	0.0353391438253099	0	0	0	0	0	0	0.0256628282421896	0.0243751664905508	0	0	0	0	0	0.237072299136173	0	0	0	0	0	0	0.148964285831352	0	0	0	0	0	0	0	0	0.193297259481725	0.193913963193534	0	0	0	0	0.0275894911112376	0.176961704029641	0.157009993501181	0.165974436127789	0	0.0267023931326781	0.0215539013646104	0	0	0	0
amino acid transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378229165926725	0.340304799409417	0.287924923891939	0.263236200449239	0	0	0	0	0	0	0.340304799409417	0.323272284680143	0	0	0.220979652413086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30830900298578	0.301109170655015	0	0.249187332990822	0	0	0	0	0	0	0	0	0	0.987599592643623	0	0	0	0	0	0	0	0	0	0	0	0	0	0.240605340496098	0.252412371750232	0.287387081912285	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241529500390234	0	0.253601980328789	0.238277107230886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238277107230886	0	0	0	0	0.214108215926019	0	0	0	0	0.215892099585665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27616341659211	0.257081978262539	0	0	0	0	0	0	0	0.244328749387911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179094264330946	0	0	0	0	0	0
generation of precursor metabolites and energy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9763972922782	0.742115422460134	0	0	0	0	0	0	0	0	0.790943735361598	0.96406876113886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tricarboxylic acid cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.742115422460134	0.997783502066735	0	0	0	0	0	0	0	0	0.629866325072012	0.734971793507393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
amino acid catabolic process	0	0	0	0	0	0.0490993307449161	0	0	0.0516616234414529	0	0.0548428942952212	0	0	0.0623366060608998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0534445532083693	0.048938044904662	0	0.0469431242889841	0	0	0.0449376068796473	0.0395315054004831	0.033848996449118	0.0467776466904308	0.0412624150535795	0	0	0	0	0	0	0	0.0412092987214027	0.0375139342184622	0.0382646845763503	0.0348489643146451	0	0	0	0	0	0	0.0337257012456458	0.0393298437368305	0.0332280518690836	0.0299780950468025	0.0401980865665859	0.0420534891781305	0	0	0	0	0.0312158526532948	0	0	0	0	0	0	0	0	0	0.0328591836792687	0.0345487395121439	0.0343638236264116	0.0339391789001427	0	0	0.0385058317312147	0	0.0449284036381059	0.0376670542629505	0.0365226553777569	0.034701352867833	0.760487639397514	0.764810276954353	0.0288023197508	0.68332097439334	0.0332280518690836	0	0	0	0.992871263403822	0.0284020630693911	0.0188602195151773	0	0.0312519273150169	0	0	0	0	0	0.0305291021861578	0	0	0	0	0.0376944349238525	0	0	0	0	0.0333324812428867	0.0363665898773732	0.031644099832926	0.0301458895818441	0.0285267239555538	0	0	0	0.0273247985973401	0	0	0.0266589604142195	0.0412169126554113	0	0	0	0.0274463970801748	0.0261644269115746	0.0328591836792687	0	0	0.0310697430916015	0	0.0306741727920061	0.03405654497503	0	0.0298908370164918	0.0257890153713539	0.0302266744730561	0.0239887223972489	0	0	0	0.0246960108335544	0	0	0.01979578834483	0	0	0	0.01979578834483	0	0	0	0	0	0	0	0	0.0362777419964688	0	0	0	0	0	0	0.0261542221384711	0.0248180595197663	0	0	0	0	0	0.0408008132572256	0	0	0	0	0	0	0.0253556854444264	0	0	0	0	0	0	0	0	0.0330845219269677	0.0331926412584762	0	0	0	0	0.0281582561294325	0.0302266744730561	0.0267519933295452	0.0283110496587936	0	0.0272348177049501	0.0219760500789181	0	0	0	0
vitamin metabolic process	0	0	0	0	0	0.0412242144035757	0	0	0.0531315472931561	0	0.046165780056503	0	0	0.0526517165021882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0449603401109889	0.0410858179724971	0	0.0393756710243377	0	0	0.0376595265730181	0.0330488130986767	0.0282263579109047	0.0392339529000958	0.0345226268916936	0	0	0	0	0	0	0	0.0344773660488838	0.0313337966133627	0.0319716028157352	0.0290732042728527	0	0	0	0	0	0	0.0281219948338524	0.0328772532411007	0.0277008768884633	0.0249553120033167	0.0336161149530565	0.0351969624037598	0	0	0	0	0.031746548938278	0	0	0	0	0	0	0	0	0	0.0273888561372852	0.0288188723472257	0.0286622569653884	0.0283027000157718	0	0	0.0321765623188399	0	0.0376516583734124	0.0314638462427758	0.0304923033541989	0.0289481484388878	0.0344317444822212	0.0346310852644758	0.0292535311763953	0.0308801796484564	0.0277008768884633	0	0	0	0.0284020630693911	0.991733061762415	0.655154950871294	0	0.0260304974862614	0	0	0	0	0	0.0310365148523913	0	0	0	0	0.0314871033697647	0	0	0	0	0.0277892309885758	0.0303598878340755	0.0263617589906958	0.0250968701128513	0.0289692754966305	0	0	0	0.027730578205615	0	0	0.929986511741125	0.0344838538094397	0	0	0	0.0228220388222081	0.0265362402287035	0.0273888561372852	0	0	0.0258766489700471	0	0.0255426890741392	0.0284020630693911	0	0.0248817060457437	0.0214280899334644	0.0251650309970521	0.0243009014997499	0	0	0	0.0250269970228696	0	0	0.0200078921517039	0	0	0	0.0200078921517039	0	0	0	0	0	0	0	0	0.0302845121089964	0	0	0	0	0	0	0.0217350722128004	0.0206124174679222	0	0	0	0	0	0.0341293643578661	0	0	0	0	0	0	0.0210639746879527	0	0	0	0	0	0	0	0	0.0275794545847648	0.0276709190595468	0	0	0	0	0.0234213831549328	0.0251650309970521	0.0222377568366396	0.0235500760587969	0	0.022643974413395	0.0222377568366396	0	0	0	0
vitamin catabolic process	0	0	0	0	0	0.0237696077983301	0	0	0.0272969331102991	0	0.0253331254665746	0	0	0.0271697228388635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0249658174745859	0.0237235310406395	0	0.0231431472520255	0	0	0.022539453316224	0.0208024698268041	0.0187825801858339	0.0230941175614952	0.0213769072001653	0	0	0	0	0	0	0	0.021359544327601	0.0201096522871238	0.0203704577346067	0.0191538313228466	0	0	0	0	0	0	0.0187363117027225	0.0207343662456544	0.0185484424717235	0.0172757607169509	0.0210258160314801	0.0216335563341474	0	0	0	0	0.0202788631155269	0	0	0	0	0	0	0	0	0	0.0184080219324441	0.0190431117070915	0.0189746011316421	0.0188163533794606	0	0	0.0204534679901351	0	0.0225366346162917	0.0201631391339587	0.0197596814234639	0.0190994728427228	0.0213420255134001	0.0214184433199695	0.0192319343659147	0.0199218372333526	0.0185484424717235	0	0	0	0.0188602195151773	0.655154950871294	0.999940094650452	0	0.0177842847746683	0	0	0	0	0	0.0199867868192453	0	0	0	0	0.0201726875965957	0	0	0	0	0.0185880153036805	0.0197039907295611	0.017938288606704	0.017343482075685	0.0191086674329119	0	0	0	0.0185617546689327	0	0	0.627626209582651	0.02136203421397	0	0	0	0.0162258016402369	0.0180189089152047	0.0184080219324441	0	0	0.0177123373771585	0	0.0175552280326367	0.0188602195151773	0	0.0172404541338406	0.0155085267058217	0.017376006112155	0.0169595930322342	0	0	0	0.0173100843322619	0	0	0.0147507376763109	0	0	0	0.0147507376763109	0	0	0	0	0	0	0	0	0.0196722133428692	0	0	0	0	0	0	0.0156686933520785	0.0150767282728825	0	0	0	0	0	0.0212254630217542	0	0	0	0	0	0	0.015316899797833	0	0	0	0	0	0	0	0	0.0184939224828812	0.0185350057473821	0	0	0	0	0.0165264756116382	0.017376006112155	0.0159282574271951	0.0165904473409704	0	0.0161355903180892	0.0159282574271951	0	0	0	0
system process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.790990235428024	0	0	0	0.780262144699037	0	0	0	0	0	0	0.480210039693063	0	0	0.603707173746773	0.537643500012657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.560119323634872	0.29863435571979	0	0	0.325873602343868	0.415485011425913	0	0.337526735871457	0	0.32368877014412	0	0	0	0	0	0	0	0	0	0	0	0	0	0.430026898068307	0	0	0	0	0	0	0	0	0	0	0	0	0.356607105408931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gluconeogenesis	0	0	0	0	0	0.0434745346153308	0	0	0.044317411244369	0	0.0479179697269891	0	0	0.0535416934517186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0468470185634284	0.0433480381349378	0	0.0417755107133602	0	0	0.560920464900133	0.499806581429715	0.433844708379823	0.0416444093149728	0.0372159144464076	0	0	0	0	0	0	0	0.0371726997954069	0.0341391812654753	0.0347598149674438	0.0319179302305693	0	0	0	0	0	0	0.0309731079562078	0.0356365477164604	0.0305528708410708	0.0277833460817892	0.036347906387252	0.0378582315985514	0	0	0	0	0.0283746126126366	0	0	0	0	0	0	0	0	0	0.0302407276856849	0.0316659009181266	0.0315104878589019	0.0311530678424557	0	0	0.034958694531016	0	0.0401723719953263	0.0342659445799266	0.834393527674576	0.0317940607048018	0.0371291276016234	0.0373194167890507	0.0263663070096309	0.0336961611290389	0.0305528708410708	0	0	0	0.0312519273150169	0.0260304974862614	0.0177842847746683	0	0.997064637872162	0	0	0	0	0	0.0278060491389777	0	0	0	0	0.034288602368672	0	0	0	0	0.030641139613842	0.0331863602840567	0.0292085396687397	0.0279274118882619	0.0261351708630165	0	0	0	0.0251227498586511	0	0	0.0245587970275624	0.0371788950478738	0	0	0	0.641023367290889	0.0241384977814859	0.0302407276856849	0	0	0.719244222144919	0	0.0283802179806525	0.0312519273150169	0	0.0277083810039762	0.33711297629262	0.0279967304715373	0.0222746806757353	0	0	0	0.0228832237525577	0	0	0.0186138065663013	0	0	0	0.0186138065663013	0	0	0	0	0	0	0	0	0.0331123564943793	0	0	0	0	0	0	0.0244679209403886	0.0232946380873016	0	0	0	0	0	0.0368399971488933	0	0	0	0	0	0	0.0237676579543109	0	0	0	0	0	0	0	0	0.0304314794586584	0.0305229299330147	0	0	0	0	0.0262132419863055	0.0279967304715373	0.0249903243302839	0.0263456066854414	0	0.0254111525187317	0.0205288859116226	0	0	0	0
cell-cell signaling	0	0	0	0	0	0	0	0	0	0.266955988703378	0	0	0	0	0	0	0	0	0	0.451311328570944	0.192366526118517	0.448034020373965	0.3808971713079	0	0	0	0	0.171747176709615	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18109281742871	0.14953709815883	0.311050733812564	0	0	0	0	0	0	0	0	0.121163052425739	0.132517256118543	0.123583376197213	0	0.165386256166511	0.1533759548089	0	0	0	0	0	0	0	0	0	0.235147898881235	0	0	0	0	0.214028802749175	0.209274127145217	0.208469071443045	0	0.131494863564256	0.133851432423957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.895045827592404	0.808457343499696	0	0	0	0	0	0	0	0	0	0.337795611928546	0	0	0.239889810551593	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238213457405513	0	0.553868625457228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187849700095941	0	0	0	0	0.219973648880489	0	0	0	0	0	0	0	0	0.137819704078239	0	0	0	0	0	0	0.173222812830516	0	0	0	0	0	0	0	0	0	0	0.585198883817531	0.199998448740609	0	0.090920670586319	0	0	0	0	0	0	0	0	0	0	0	0	0.0969913232743642	0.0969913232743642	0	0	0	0	0	0	0	0	0	0	0.0812195661822845	0
synaptic transmission	0	0	0	0	0	0	0	0	0	0.230063992584431	0	0	0	0	0	0	0	0	0	0.394934432801202	0.172440832547504	0.392422494598956	0.3399416843969	0	0	0	0	0.155685810900034	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163326341439498	0.137212143468157	0.283189035304758	0	0	0	0	0	0	0	0	0.11294302167068	0.122746558078312	0.115043236391631	0	0.150440809102098	0.140437451176699	0	0	0	0	0	0	0	0	0	0.218868991109863	0	0	0	0	0.200458292629873	0.196281560157127	0.195573194349587	0	0.121868873286199	0.123890396634899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.808457343499696	0.93524231713892	0	0	0	0	0	0	0	0	0	0.305187838066155	0	0	0.222971351961323	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22152239950959	0	0.659034447899274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17731422766759	0	0	0	0	0.20566400358254	0	0	0	0	0	0	0	0	0.127282534673943	0	0	0	0	0	0	0.156897383149883	0	0	0	0	0	0	0	0	0	0	0.693873864261877	0.18809935572951	0	0.0862122480066181	0	0	0	0	0	0	0	0	0	0	0	0	0.0916516230184207	0.0916516230184207	0	0	0	0	0	0	0	0	0	0	0.0774414278819886	0
neurological system process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.780262144699037	0	0	0	0.799796321811538	0	0	0	0	0	0	0.494778344546731	0	0	0.620700639060963	0.532665444880894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.554718450878003	0.308660271525177	0	0	0.336655431035166	0.412505834911555	0	0.348623899763361	0	0.334410940276789	0	0	0	0	0	0	0	0	0	0	0	0	0	0.443456406140176	0	0	0	0	0	0	0	0	0	0	0	0	0.354410221994992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxidative phosphorylation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.790943735361598	0.629866325072012	0	0	0	0	0	0	0	0	0.995926436230755	0.782834270805847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
respiratory electron transport chain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96406876113886	0.734971793507393	0	0	0	0	0	0	0	0	0.782834270805847	0.978553884861918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfur metabolic process	0	0	0	0	0	0.0458620744597968	0	0	0.0610943313096742	0	0.0520616770699074	0	0	0.0604607569238645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505337743514431	0.0456908509062566	0	0.0435856835293238	0	0	0.0414926964996131	0.0359645041265356	0.0303261883594967	0.0434121073635685	0.0377167339591157	0	0	0	0	0	0	0	0.0376627169607795	0.0339427843761205	0.034692496135498	0.0313059061383471	0	0	0	0	0	0	0.0302057531688505	0.035761430631132	0.0297204543646275	0.026582630318411	0.0366373395089907	0.038523081205056	0	0	0	0	0.034427665215676	0	0	0	0	0	0	0	0	0	0.0293615730640275	0.0310112089633697	0.0308299337877657	0.0304143292611585	0	0	0.0349339573281285	0	0.0414831452600116	0.0340954453824697	0.032957527492421	0.0311609531150748	0.0376082827114947	0.037846228013358	0.0315150929010938	0.0334111231475809	0.0297204543646275	0	0	0	0.0305291021861578	0.0310365148523913	0.0199867868192453	0	0.0278060491389777	0	0	0	0	0	0.983705744923022	0	0	0	0	0.0341227572896752	0	0	0	0	0.0298221849552813	0.0328028898481955	0.0281843712753932	0.0267433116135163	0.0311854349030467	0	0	0	0.0297546470740049	0	0	0.028966831938522	0.0376704590379648	0	0	0	0.0241754856671095	0.028383904604435	0.0293615730640275	0	0	0.0276305674124022	0	0.0272501344676435	0.0305291021861578	0	0.0264991278449541	0.0226169451332445	0.0268207228216855	0.025841357379135	0	0	0	0.0266639844589292	0	0	0.0210405838386788	0	0	0	0.0210405838386788	0	0	0	0	0	0	0	0	0.0327149129525526	0	0	0	0	0	0	0.0229592078575535	0.0217101680382246	0	0	0	0	0	0.0372478281938004	0	0	0	0	0	0	0.0222116880737088	0	0	0	0	0	0	0	0	0.0295807263282019	0.0296859717689547	0	0	0	0	0.0248490744545139	0.0268207228216855	0.0235208417349606	0.0249939834825325	0	0.0239757674173965	0.0235208417349606	0	0	0	0
phosphate transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.354468110344301	0.320947884680277	0.273945876612359	0.251502849297292	0	0	0	0	0	0	0.320947884680277	0.305754664376043	0	0	0.212651396342417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292335460167357	0.285854509154444	0	0.238647902853515	0	0	0	0	0	0	0	0	0	0.240605340496098	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99161325106332	0.241604285157111	0.273458948218002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231615009282526	0	0.242693978866371	0.228622495241325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228622495241325	0	0	0	0	0.20628067370273	0	0	0	0	0.207936004059941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263277553132996	0.245879169661578	0	0	0	0	0	0	0	0.234187939462374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173584584326262	0	0	0	0	0	0
anion transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.380703586499324	0.342306572499027	0.289356598047117	0.264432367295655	0	0	0	0	0	0	0.342306572499027	0.325078160155939	0	0	0.221821994356311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.728520308420364	0.711418940014423	0	0.250258968626249	0	0	0	0	0	0	0	0	0	0.252412371750232	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241604285157111	0.987120349847241	0.288813399097999	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242536149691344	0	0.254712007459619	0.239256773364482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239256773364482	0	0	0	0	0.214898892815741	0	0	0	0	0.216696031449493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277480246717833	0.258222747141682	0	0	0	0	0	0	0	0.245358917144934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179647147714988	0	0	0	0	0	0
